iter	Passed	Remaining
0	16	67348
1	33	67387
2	47	63654
3	63	63835
4	78	63019
5	93	62107
6	110	62879
7	126	63238
8	142	63191
9	159	63548
10	173	62804
11	187	62297
12	203	62386
13	219	62597
14	234	62308
15	251	62529
16	268	62876
17	285	63165
18	299	62731
19	316	62937
20	331	62742
21	349	63200
22	366	63415
23	378	62670
24	400	63704
25	423	64743
26	447	65819
27	464	65934
28	486	66684
29	506	67048
30	526	67414
31	546	67734
32	566	68058
33	585	68280
34	603	68395
35	618	68147
36	635	68036
37	654	68194
38	671	68214
39	690	68349
40	709	68518
41	728	68626
42	745	68591
43	763	68640
44	780	68574
45	794	68311
46	812	68311
47	828	68192
48	845	68167
49	861	68032
50	878	67995
51	892	67773
52	910	67833
53	929	67926
54	946	67895
55	962	67759
56	978	67676
57	995	67668
58	1012	67633
59	1030	67668
60	1046	67557
61	1062	67487
62	1081	67571
63	1100	67669
64	1119	67756
65	1138	67861
66	1156	67880
67	1173	67870
68	1192	67930
69	1209	67910
70	1227	67953
71	1246	68002
72	1263	67948
73	1279	67875
74	1297	67913
75	1315	67941
76	1337	68124
77	1354	68086
78	1372	68099
79	1391	68176
80	1408	68140
81	1425	68113
82	1444	68162
83	1462	68196
84	1479	68154
85	1498	68177
86	1516	68224
87	1531	68086
88	1547	68016
89	1564	67957
90	1578	67807
91	1596	67795
92	1612	67754
93	1630	67749
94	1648	67754
95	1663	67663
96	1682	67684
97	1699	67649
98	1717	67665
99	1733	67608
100	1752	67670
101	1769	67605
102	1786	67587
103	1802	67540
104	1820	67534
105	1837	67493
106	1855	67526
107	1873	67516
108	1890	67478
109	1907	67449
110	1922	67351
111	1939	67339
112	1955	67264
113	1970	67165
114	1987	67135
115	2004	67121
116	2022	67106
117	2038	67070
118	2056	67056
119	2070	66956
120	2086	66898
121	2104	66889
122	2121	66880
123	2137	66827
124	2155	66829
125	2173	66823
126	2188	66743
127	2204	66681
128	2224	66737
129	2240	66711
130	2258	66714
131	2277	66728
132	2296	66772
133	2311	66699
134	2328	66666
135	2346	66661
136	2362	66614
137	2380	66622
138	2398	66635
139	2417	66642
140	2436	66672
141	2451	66613
142	2466	66526
143	2484	66520
144	2500	66490
145	2519	66503
146	2533	66409
147	2555	66505
148	2573	66520
149	2591	66515
150	2607	66458
151	2622	66389
152	2640	66389
153	2654	66301
154	2670	66236
155	2686	66205
156	2701	66133
157	2716	66046
158	2738	66165
159	2761	66269
160	2783	66382
161	2802	66397
162	2819	66367
163	2833	66287
164	2851	66265
165	2868	66252
166	2886	66253
167	2903	66238
168	2920	66210
169	2935	66144
170	2953	66123
171	2969	66095
172	2986	66071
173	3003	66045
174	3021	66031
175	3037	65988
176	3054	65965
177	3070	65925
178	3086	65883
179	3101	65822
180	3118	65796
181	3135	65768
182	3149	65693
183	3163	65607
184	3181	65602
185	3197	65556
186	3210	65472
187	3227	65445
188	3242	65377
189	3258	65345
190	3274	65303
191	3290	65268
192	3305	65201
193	3320	65134
194	3336	65098
195	3351	65049
196	3367	65017
197	3382	64953
198	3398	64914
199	3415	64889
200	3433	64887
201	3448	64836
202	3462	64765
203	3478	64730
204	3493	64672
205	3507	64604
206	3522	64551
207	3536	64472
208	3553	64461
209	3569	64412
210	3585	64388
211	3601	64352
212	3618	64325
213	3634	64294
214	3649	64248
215	3665	64211
216	3680	64159
217	3696	64123
218	3711	64085
219	3726	64031
